post_id,platform,content_type,category,creator_type,follower_count,account_age_days,hook_strength,relatability_score,thumbnail_quality,caption_length,hashtag_count,trending_audio,call_to_action,video_duration,post_time,day_of_week,emotion_trigger,views,likes,comments,shares,saves,impressions,reach,watch_time_avg,completion_rate,engagement_rate,first_3sec_retention,viral
0,YouTube,Short,Tech,influencer,6279,1160,8,5,7,131,18,0,1,79,10,5,funny,12726,405,620,328,158,20304,14413,16,0.2,0.119,0.86,1
1,TikTok,Post,Tech,individual,224,1112,10,3,7,253,2,0,1,55,6,5,funny,310,35,10,4,1,647,481,14.24,0.26,0.161,1,0
2,TikTok,Short,Tech,brand,1715,1134,4,2,8,11,5,1,0,58,9,4,inspiration,9531,950,453,260,247,13865,7183,53.62,0.92,0.2,0.43,1
3,YouTube,Video,Tech,brand,656,367,5,8,10,226,28,0,0,19,12,1,curiosity,523,34,11,2,6,1039,904,14.09,0.74,0.101,0.74,0
4,YouTube,Reel,Entertainment,individual,8049,230,8,2,1,57,22,1,0,66,23,5,inspiration,19165,2105,553,153,574,42206,29439,50.69,0.77,0.177,0.97,1
5,TikTok,Reel,Tech,influencer,58,1607,3,7,1,61,31,0,1,136,4,7,fear,2135,103,101,42,62,3382,1833,119.98,0.88,0.144,0.49,1
6,YouTube,Video,Meme,brand,322,1393,10,7,9,240,32,1,1,133,19,5,inspiration,947,71,25,9,8,1534,1085,46.23,0.35,0.119,1,1
7,Instagram,Video,Entertainment,individual,724,1550,10,4,7,122,36,1,0,117,23,1,fear,13034,873,147,177,354,23228,16751,80.28,0.69,0.119,1,1
8,YouTube,Reel,Entertainment,individual,949,1237,1,6,8,107,5,1,1,143,15,1,fear,2130,197,94,28,27,3521,1895,102.27,0.72,0.162,0.34,1
9,Instagram,Reel,Motivation,influencer,2403,580,2,8,1,276,27,0,1,155,9,3,neutral,1698,201,52,19,67,3985,2293,149.71,0.97,0.2,0.37,0
10,Instagram,Post,Meme,individual,12672,237,3,4,8,63,32,1,1,156,19,3,inspiration,18288,1649,607,261,693,29205,20275,151.94,0.97,0.176,0.39,0
11,YouTube,Video,Tech,individual,3736,190,4,1,5,144,2,1,1,149,0,4,funny,7335,385,246,216,161,12140,9202,135.2,0.91,0.137,0.53,0
12,TikTok,Post,Meme,individual,10669,1049,3,4,3,201,16,1,0,176,13,5,inspiration,26106,3022,606,491,653,41701,24034,172.58,0.98,0.183,0.32,1
